"correct_backPropagation","correct_emf1st","correct_emf2nd","correct_java1st","correct_java2nd","correct_referenceMapper","factor","iteration","memory_backPropagation","memory_emf1st","memory_emf2nd","memory_fetching","memory_java1st","memory_java2nd","memory_referenceMapper","memory_sqlQuery","memory_syncer","memory_update","memory_update2","query","size_backPropagation","size_mapper","size_model","size_syncer","syncer_type","time_backPropagation","time_emf1st","time_emf2nd","time_fetching","time_java1st","time_java2nd","time_referenceMapper","time_sqlQuery","time_syncer","time_update","time_update2"
"false","false","false","false","false","false","","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0","0","133394","0.0","LAZY","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"true","true","true","true","true","false","","0","262352.0","4.07904728E8","4.0845968E8","7279624.0","3.9916696E8","4.01015784E8","0.0","3.91887336E8","5078936.0","0.0","0.0","Q1","3","0","0","5.0","LAZY","2959400.0","4980300.0","12200.0","5.3497E7","7500.0","4600.0","0.0","1.05544E7","8230600.0","993700.0","0.0"
"true","true","true","true","true","false","","1","262168.0","4.13440696E8","4.13440696E8","262160.0","4.0924636E8","4.0924636E8","0.0","4.089842E8","4194336.0","0.0","0.0","Q1","3","0","0","5.0","LAZY","562100.0","175200.0","5100.0","3752600.0","700.0","800.0","0.0","2297200.0","1207700.0","62700.0","0.0"
"true","true","true","true","true","false","","2","262168.0","4.18159576E8","4.18159576E8","262376.0","4.1396524E8","4.1396524E8","0.0","4.13702864E8","4194336.0","0.0","0.0","Q1","3","0","0","5.0","LAZY","304900.0","190100.0","4300.0","3800700.0","800.0","800.0","0.0","2322500.0","1443600.0","64600.0","0.0"
"true","true","true","true","true","false","","3","0.0","4.23148784E8","4.23148784E8","0.0","4.18692096E8","4.18692096E8","0.0","4.18692096E8","4194336.0","0.0","0.0","Q1","3","0","0","5.0","LAZY","291800.0","159600.0","4300.0","4488900.0","900.0","1000.0","0.0","2337700.0","1172700.0","65300.0","0.0"
"true","true","true","true","true","false","","4","0.0","4.27867648E8","4.27867648E8","262176.0","4.23673312E8","4.23673312E8","0.0","4.23411136E8","4194336.0","0.0","0.0","Q1","3","0","0","5.0","LAZY","250800.0","158100.0","4200.0","3911500.0","800.0","700.0","0.0","2464600.0","1170500.0","65800.0","0.0"
"true","true","true","true","true","false","","5","262352.0","4.32864936E8","4.32864936E8","262208.0","4.286706E8","4.286706E8","0.0","4.28408392E8","4194336.0","0.0","0.0","Q1","3","0","0","5.0","LAZY","236900.0","137800.0","4400.0","4928300.0","1000.0","900.0","0.0","5974200.0","1472300.0","80700.0","0.0"
"true","true","true","true","true","false","","6","262352.0","4.37600184E8","4.37600184E8","278560.0","4.33405848E8","4.33405848E8","0.0","4.33127288E8","4194336.0","0.0","0.0","Q1","3","0","0","5.0","LAZY","239900.0","158700.0","4700.0","4068700.0","700.0","1100.0","0.0","2447100.0","1264700.0","67800.0","0.0"
"true","true","true","true","true","false","","7","0.0","4.42319208E8","4.4258156E8","262336.0","4.38124872E8","4.38124872E8","0.0","4.37862536E8","4194336.0","0.0","0.0","Q1","3","0","0","5.0","LAZY","345100.0","134400.0","6000.0","4522000.0","800.0","800.0","0.0","2847300.0","1198000.0","62800.0","0.0"
"true","true","true","true","true","false","","8","0.0","4.4730028E8","4.4730028E8","262176.0","4.43105944E8","4.43105944E8","0.0","4.42843768E8","4194336.0","0.0","0.0","Q1","3","0","0","5.0","LAZY","241500.0","372700.0","6200.0","4051100.0","900.0","700.0","0.0","2444600.0","1627900.0","71100.0","0.0"
