"correct_backPropagation","correct_emf1st","correct_emf2nd","correct_java1st","correct_java2nd","correct_referenceMapper","factor","iteration","memory_backPropagation","memory_emf1st","memory_emf2nd","memory_fetching","memory_java1st","memory_java2nd","memory_referenceMapper","memory_sqlQuery","memory_syncer","memory_update","memory_update2","query","size_backPropagation","size_mapper","size_model","size_syncer","syncer_type","time_backPropagation","time_emf1st","time_emf2nd","time_fetching","time_java1st","time_java2nd","time_referenceMapper","time_sqlQuery","time_syncer","time_update","time_update2"
"false","false","false","false","false","false","","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0","0","51488","0.0","LAZY","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"false","false","false","false","false","true","","0","0.0","0.0","0.0","126.69190216064453","0.0","0.0","11.959861755371094","6.996795654296875","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","723.718069","0.0","0.0","101.077635","143.334968","0.0","0.0","0.0"
"false","false","false","false","false","true","","1","0.0","0.0","0.0","110.96967315673828","0.0","0.0","11.575180053710938","0.25003814697265625","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","412.992747","0.0","0.0","63.565928","77.023321","0.0","0.0","0.0"
"false","false","false","false","false","true","","2","0.0","0.0","0.0","109.20098876953125","0.0","0.0","11.514472961425781","0.25009918212890625","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","390.435204","0.0","0.0","58.656872","71.92036","0.0","0.0","0.0"
"false","false","false","false","false","true","","3","0.0","0.0","0.0","109.21892547607422","0.0","0.0","11.33392333984375","0.265655517578125","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","384.703605","0.0","0.0","36.608598","76.511565","0.0","0.0","0.0"
"false","false","false","false","false","true","","4","0.0","0.0","0.0","109.20002746582031","0.0","0.0","11.514450073242188","0.2500152587890625","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","386.537988","0.0","0.0","39.909496","73.584275","0.0","0.0","0.0"
"false","false","false","false","false","true","","5","0.0","0.0","0.0","109.21000671386719","0.0","0.0","11.33392333984375","0.5243988037109375","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","395.023367","0.0","0.0","47.52377","75.197863","0.0","0.0","0.0"
"false","false","false","false","false","true","","6","0.0","0.0","0.0","109.02879333496094","0.0","0.0","11.514419555664062","0.250030517578125","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","421.550099","0.0","0.0","44.380958","80.746903","0.0","0.0","0.0"
"false","false","false","false","false","true","","7","0.0","0.0","0.0","109.21699523925781","0.0","0.0","9.6644287109375","0.2500152587890625","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","397.002045","0.0","0.0","34.199762","78.565583","0.0","0.0","0.0"
"false","false","false","false","false","true","","8","0.0","0.0","0.0","109.13955688476562","0.0","0.0","8.509780883789062","0.2500152587890625","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","415.361163","0.0","0.0","22.423117","78.936712","0.0","0.0","0.0"
"false","false","false","false","false","true","","9","0.0","0.0","0.0","109.19993591308594","0.0","0.0","8.715614318847656","0.2500457763671875","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","400.972683","0.0","0.0","21.869505","71.149535","0.0","0.0","0.0"
"false","false","false","false","false","true","","10","0.0","0.0","0.0","109.22559356689453","0.0","0.0","8.715492248535156","0.2656402587890625","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","406.266121","0.0","0.0","21.824624","77.830978","0.0","0.0","0.0"
"false","false","false","false","false","true","","11","0.0","0.0","0.0","109.22559356689453","0.0","0.0","8.715492248535156","0.2656402587890625","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","408.048274","0.0","0.0","20.487938","75.221969","0.0","0.0","0.0"
"false","false","false","false","false","true","","12","0.0","0.0","0.0","109.22586822509766","0.0","0.0","8.71551513671875","0.2656402587890625","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","400.735405","0.0","0.0","21.16615","71.565383","0.0","0.0","0.0"
"false","false","false","false","false","true","","13","0.0","0.0","0.0","109.22559356689453","0.0","0.0","8.715492248535156","0.2656402587890625","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","398.812765","0.0","0.0","21.345724","75.77954","0.0","0.0","0.0"
"false","false","false","false","false","true","","14","0.0","0.0","0.0","109.22559356689453","0.0","0.0","8.715492248535156","0.2656402587890625","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","402.594242","0.0","0.0","21.265181","72.614647","0.0","0.0","0.0"
"false","false","false","false","false","true","","15","0.0","0.0","0.0","109.2501220703125","0.0","0.0","8.506080627441406","0.25002288818359375","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","405.44651","0.0","0.0","20.737353","74.964736","0.0","0.0","0.0"
"false","false","false","false","false","true","","16","0.0","0.0","0.0","109.21509552001953","0.0","0.0","8.498222351074219","0.2501068115234375","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","400.523764","0.0","0.0","20.885368","72.98633","0.0","0.0","0.0"
"false","false","false","false","false","true","","17","0.0","0.0","0.0","109.21026611328125","0.0","0.0","8.498222351074219","0.2516326904296875","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","398.165374","0.0","0.0","22.005965","72.61379","0.0","0.0","0.0"
"false","false","false","false","false","true","","18","0.0","0.0","0.0","109.21043395996094","0.0","0.0","8.498222351074219","0.2516326904296875","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","398.742722","0.0","0.0","22.687643","72.252662","0.0","0.0","0.0"
"false","false","false","false","false","true","","19","0.0","0.0","0.0","109.21026611328125","0.0","0.0","8.498222351074219","0.2516326904296875","0.0","0.0","0.0","REFERENCE_MAPPER","0","55463","0","0.0","LAZY","0.0","0.0","0.0","403.138785","0.0","0.0","22.767643","72.305557","0.0","0.0","0.0"
