"correct_backPropagation","correct_emf1st","correct_emf2nd","correct_java1st","correct_java2nd","correct_referenceMapper","factor","iteration","memory_backPropagation","memory_emf1st","memory_emf2nd","memory_fetching","memory_java1st","memory_java2nd","memory_referenceMapper","memory_sqlQuery","memory_syncer","memory_update","memory_update2","query","size_backPropagation","size_mapper","size_model","size_syncer","syncer_type","time_backPropagation","time_emf1st","time_emf2nd","time_fetching","time_java1st","time_java2nd","time_referenceMapper","time_sqlQuery","time_syncer","time_update","time_update2"
"false","false","false","false","false","false","","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0","0","84903","0.0","LAZY","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"true","true","true","true","true","false","","0","0.263184","0.5037918090820312","0.0","6.661163330078125","0.0","0.0","0.0","10.005744934082031","4.572174072265625","0.0","0.0","Q1","3","0","0","5.0","LAZY","3.371713","5.405647","0.006293","97.866593","0.008185","0.004472","0.0","133.707073","7.525062","1.137893","0.0"
"true","true","true","true","true","false","","1","0.0","0.0","0.0","0.2735748291015625","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.457587","0.284015","0.003754","52.017771","0.001111","0.001074","0.0","48.755174","0.225278","0.083994","0.0"
"true","true","true","true","true","false","","2","0.0","0.0","0.0","0.25006103515625","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.464302","0.206708","0.003602","53.945758","0.001185","9.86E-4","0.0","48.615054","0.232132","0.083561","0.0"
"true","true","true","true","true","false","","3","0.262168","0.0","0.0","0.0","0.0","0.0","0.0","0.2509918212890625","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.263619","0.1872","0.003295","47.449782","0.001053","9.87E-4","0.0","49.212876","0.213468","0.072366","0.0"
"true","true","true","true","true","false","","4","0.0","0.2501983642578125","0.0","0.0","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.276908","0.200161","0.003478","52.897574","0.001647","0.001523","0.0","49.272405","0.233089","0.075903","0.0"
"true","true","true","true","true","false","","5","0.0","0.0","0.0","0.250030517578125","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.264986","0.179096","0.003726","52.712917","0.001586","9.84E-4","0.0","52.263359","0.229852","0.076658","0.0"
"true","true","true","true","true","false","","6","0.0","0.0","0.0","0.273468017578125","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.246393","0.194932","0.003002","47.074061","0.001119","8.62E-4","0.0","48.204431","0.201258","0.085946","0.0"
"true","true","true","true","true","false","","7","0.262232","0.0","0.0","0.0","0.0","0.0","0.0","0.25003814697265625","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.38721","0.131017","0.014706","46.683842","9.08E-4","0.001345","0.0","47.340714","0.232821","0.065176","0.0"
"true","true","true","true","true","false","","8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.000030517578125","0.262168","0.0","Q1","3","0","0","5.0","LAZY","0.186857","0.204572","0.00343","52.622604","0.001116","8.22E-4","0.0","48.097269","0.223678","0.078624","0.0"
"true","true","true","true","true","false","","9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.169433","0.128448","0.002813","46.408013","0.001042","0.001172","0.0","47.898035","0.210327","0.068845","0.0"
"true","true","true","true","true","false","","10","0.0","0.0","0.0","0.252105712890625","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.173016","0.123516","0.002882","47.111413","9.08E-4","8.54E-4","0.0","46.635539","0.230434","0.108007","0.0"
"true","true","true","true","true","false","","11","0.0","0.0","0.0","0.2515411376953125","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.193259","0.150077","0.004316","46.662648","9.0E-4","0.001337","0.0","46.040032","0.219435","0.077196","0.0"
"true","true","true","true","true","false","","12","0.262352","0.0","0.0","0.0","0.0","0.0","0.0","0.2657470703125","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.200509","0.170927","0.00244","46.831405","0.001119","8.42E-4","0.0","46.800362","0.234793","0.100219","0.0"
"true","true","true","true","true","false","","13","0.262352","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.156912","0.145477","0.002579","46.531808","9.25E-4","7.25E-4","0.0","46.052306","0.201014","0.066285","0.0"
"true","true","true","true","true","false","","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.175691","0.133513","0.002537","46.408906","9.98E-4","9.28E-4","0.0","46.425371","0.233423","0.072148","0.0"
"true","true","true","true","true","false","","15","0.0","0.0","0.0","0.25002288818359375","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","1.014442","0.122562","0.012696","47.44726","9.58E-4","8.01E-4","0.0","48.341541","0.226546","0.068007","0.0"
"true","true","true","true","true","false","","16","0.262184","0.0","0.0","0.0","0.0","0.0","0.0","0.26566314697265625","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.170038","0.107944","0.002385","46.747077","8.62E-4","7.22E-4","0.0","47.604354","0.199454","0.064419","0.0"
"true","true","true","true","true","false","","17","0.262352","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.144025","0.129585","0.00234","47.270101","9.06E-4","9.79E-4","0.0","45.879209","0.204622","0.079214","0.0"
"true","true","true","true","true","false","","18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.147016","0.140707","0.003153","47.894585","0.001208","7.77E-4","0.0","46.302381","0.221847","0.078182","0.0"
"true","true","true","true","true","false","","19","0.0","0.0","0.0","0.250030517578125","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.145381","0.112831","0.002326","46.594439","9.24E-4","8.6E-4","0.0","46.895582","0.224607","0.067079","0.0"
"true","true","true","true","true","false","","20","0.0","0.0","0.0","0.25002288818359375","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.148485","0.11379","0.00268","49.218101","0.001024","7.76E-4","0.0","50.143455","0.231542","0.071202","0.0"
"true","true","true","true","true","false","","21","0.262232","0.0","0.0","0.0","0.0","0.0","0.0","0.250030517578125","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.14652","0.120621","0.002321","49.641239","0.001034","0.001628","0.0","47.269924","0.235778","0.071952","0.0"
"true","true","true","true","true","false","","22","0.0","0.25002288818359375","0.0","0.0","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.148667","0.143041","0.002278","48.774368","8.31E-4","6.59E-4","0.0","46.142219","0.214059","0.070041","0.0"
"true","true","true","true","true","false","","23","0.0","0.0","0.0","0.250030517578125","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.155027","0.115711","0.002527","48.602787","8.24E-4","0.001014","0.0","47.485343","0.221845","0.070411","0.0"
"true","true","true","true","true","false","","24","0.0","0.0","0.0","0.2578277587890625","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.13082","0.105862","0.001998","45.860079","7.97E-4","5.32E-4","0.0","46.791748","0.200181","0.067409","0.0"
"true","true","true","true","true","false","","25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.25006103515625","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.170481","0.116782","0.002095","47.314655","8.92E-4","6.61E-4","0.0","47.336955","0.202982","0.063731","0.0"
"true","true","true","true","true","false","","26","0.262352","0.0","0.0","0.0","0.0","0.0","0.0","0.2656402587890625","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.127379","0.121681","0.001965","46.070272","7.96E-4","5.7E-4","0.0","45.676216","0.201365","0.066467","0.0"
"true","true","true","true","true","false","","27","0.262184","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.204264","0.130824","0.0021","46.717406","8.47E-4","6.39E-4","0.0","45.160724","0.217813","0.074609","0.0"
"true","true","true","true","true","false","","28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.162747","0.15356","0.002327","46.221414","7.99E-4","0.001541","0.0","46.534188","0.221771","0.077558","0.0"
"true","true","true","true","true","false","","29","0.0","0.0","0.0","0.25003814697265625","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.107534","0.111864","0.001922","46.116304","9.62E-4","6.22E-4","0.0","45.905744","0.220693","0.070602","0.0"
"true","true","true","true","true","false","","30","0.0","0.0","0.0","0.2501068115234375","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.104111","0.098341","0.002","46.424669","7.93E-4","6.05E-4","0.0","45.527522","0.199063","0.064856","0.0"
"true","true","true","true","true","false","","31","0.0","0.0","0.0","0.2500457763671875","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.148301","0.103021","0.00205","46.333914","0.001022","6.07E-4","0.0","45.847194","0.200344","0.069644","0.0"
"true","true","true","true","true","false","","32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.26566314697265625","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.13444","0.096017","0.001849","45.963356","0.001031","5.87E-4","0.0","46.122628","0.198025","0.063184","0.0"
"true","true","true","true","true","false","","33","0.262184","0.0","0.0","0.0","0.0","0.0","0.0","0.250030517578125","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.126731","0.103511","0.001867","46.038241","7.36E-4","8.77E-4","0.0","45.956692","0.224615","0.067287","0.0"
"true","true","true","true","true","false","","34","0.262352","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.120765","0.099113","0.002096","46.342549","8.18E-4","5.42E-4","0.0","45.918557","0.207222","0.086494","0.0"
"true","true","true","true","true","false","","35","0.0","0.25002288818359375","0.0","0.0","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.105776","0.132578","0.001988","46.186157","8.19E-4","4.89E-4","0.0","45.809781","0.201889","0.066236","0.0"
"true","true","true","true","true","false","","36","0.0","0.0","0.0","0.25002288818359375","0.0","0.0","0.0","0.0","4.000030517578125","0.0","0.0","Q1","3","0","0","5.0","LAZY","0.124342","0.118799","0.001955","46.528787","7.77E-4","5.93E-4","0.0","50.22489","0.204426","0.06593","0.0"
